Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Papel, cartón y sus manufacturas;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Aluminio y sus manufacturas;Manufacturas diversas
septiembre-18;126.095;8.926;4.365;3.729;21.078;4.564;14.723;19.096;17.434;28.169;12.184
octubre-18;126.723;10.670;4.899;5.277;25.069;4.973;16.123;18.075;19.893;22.929;14.721
noviembre-18;135.909;7.611;6.225;3.415;24.092;3.756;12.135;11.293;17.474;21.416;9.735
diciembre-18;105.117;7.292;4.771;3.883;19.960;4.354;15.361;15.286;17.561;25.245;9.662
enero-19;117.959;4.172;4.087;2.592;24.450;2.825;16.044;15.009;13.183;22.137;10.168
febrero-19;150.376;6.203;4.618;4.361;25.252;3.681;12.814;10.619;13.741;24.478;9.959
marzo-19;93.940;6.358;5.742;4.020;22.537;3.661;10.090;17.109;17.834;23.756;12.120
abril-19;129.741;8.487;5.994;4.773;20.619;4.303;12.533;16.422;14.838;36.888;9.187
mayo-19;141.614;7.882;6.563;5.281;30.370;4.113;14.237;21.081;19.714;27.880;11.624
junio-19;104.238;6.337;5.122;4.518;24.887;3.915;8.838;16.907;15.933;26.370;12.900
julio-19;134.880;7.553;5.820;3.942;23.455;3.968;12.737;17.762;16.344;25.835;10.201
agosto-19;113.397;8.674;5.988;4.685;27.882;4.119;10.663;17.247;14.117;26.222;14.059
septiembre-19;132.118;7.266;5.647;3.276;20.956;3.825;9.725;13.477;15.174;33.171;10.485
octubre-19;133.857;7.442;5.298;3.890;21.237;5.010;14.420;22.294;12.924;42.855;11.769
noviembre-19;112.234;7.888;4.636;4.034;22.234;4.246;9.702;17.095;16.700;31.561;11.075
diciembre-19;107.472;6.041;4.000;2.504;18.842;3.489;10.148;15.500;13.831;31.033;9.453
enero-20;100.590;8.136;3.227;3.889;17.665;3.593;14.220;20.879;15.278;20.061;8.823
febrero-20;116.884;7.590;4.333;4.564;19.459;3.476;9.791;12.461;14.635;24.251;10.428
marzo-20;115.479;7.466;3.860;4.084;17.932;3.175;11.037;18.793;12.821;23.986;8.671
abril-20;116.495;2.639;1.500;3.989;13.464;910;8.370;4.537;10.574;21.767;11.851
mayo-20;84.818;3.401;1.837;1.894;22.432;1.342;11.179;5.560;5.754;27.796;9.080
junio-20;78.733;5.961;2.916;1.915;21.126;2.632;8.694;7.389;8.459;27.370;9.716
julio-20;113.002;8.842;3.604;2.857;24.338;3.399;11.581;11.629;16.588;28.381;8.519
agosto-20;106.563;7.941;3.559;3.628;17.781;3.641;10.089;8.721;9.598;24.347;9.342
septiembre-20;126.821;8.124;3.901;4.126;21.018;3.978;11.971;10.915;13.702;27.967;11.239
octubre-20;101.782;8.372;3.428;4.597;22.337;4.167;10.250;13.293;16.650;29.222;11.062
noviembre-20;114.106;7.510;3.890;3.896;21.046;4.313;12.887;12.819;12.943;34.694;11.161
diciembre-20;147.539;10.170;4.899;4.619;25.227;4.594;15.447;13.288;18.563;30.644;11.321
enero-21;130.770;6.730;2.325;4.474;19.723;3.740;10.495;11.469;20.863;29.791;8.527
febrero-21;159.061;7.635;3.535;4.582;18.175;5.035;12.480;13.654;16.421;34.816;12.099
marzo-21;150.113;8.672;4.892;5.490;24.292;3.998;13.513;18.627;23.952;41.516;9.027
Fuente: DIAN - DANE (EXPO);;;;;;;;;;;
p Cifras preliminares.;;;;;;;;;;;
Actualizado el 30 de abril de 2021;;;;;;;;;;;
