Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Corcho y sus manufacturas;Manufactura de espartería y cestería;Papel, cartón y sus manufacturas;Plumas, flores artificiales; manufactura de cabellos;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Níquel y sus manufacturas;Aluminio y sus manufacturas;Plomo y manufacturas;Zinc y manufacturas;Estaño y manufacturas;Demás metales comunes, "cermets" y manufacturas;Manufacturas diversas de metales comunes;Manufacturas diversas
noviembre-16;113.473;4.641;5.434;2.868;13;32;18.813;10;4.278;15.798;8.391;18.294;1;21.374;185;2;30;101;2.515;9.764
diciembre-16;117.256;4.379;4.522;3.620;34;19;23.400;8;4.487;16.233;14.632;21.182;19;22.583;742;34;21;107;3.064;12.253
enero-17;97.839;2.957;3.058;1.896;16;35;18.950;21;2.344;8.950;10.052;18.906;22;17.536;562;0;4;30;2.181;9.982
febrero-17;95.629;3.326;4.000;2.693;2;25;21.688;1;2.826;13.474;10.191;14.277;0;17.114;1.273;24;8;121;2.383;9.362
marzo-17;118.427;4.404;4.235;3.477;22;49;19.663;16;3.646;17.394;13.058;19.975;58;17.459;1.781;2;11;56;2.851;10.847
abril-17;94.766;4.822;3.881;3.038;37;22;21.825;0;3.136;11.062;15.446;16.424;1;16.793;550;147;18;106;2.320;11.083
mayo-17;115.479;5.171;5.135;9.245;81;43;20.526;2;4.549;13.117;13.677;17.977;0;16.808;1.509;33;0;97;2.732;9.259
junio-17;120.467;3.613;3.769;3.043;2;19;21.499;1;3.847;14.601;16.339;19.304;0;18.134;420;41;6;148;2.846;13.137
julio-17;118.370;7.089;3.639;4.233;34;40;24.719;9;4.639;18.173;11.694;22.580;8;17.273;521;13;4;86;2.706;14.194
agosto-17;130.009;6.161;4.084;2.474;1;16;22.872;472;3.547;12.745;14.742;29.226;1;25.111;535;42;0;168;2.824;13.101
septiembre-17;109.090;6.225;4.315;6.102;17;33;22.907;83;3.981;17.233;11.775;24.749;23;23.705;2.567;50;2;20;2.761;14.160
octubre-17;118.467;4.145;2.859;3.295;60;58;21.842;6;4.198;13.228;14.663;22.558;1;20.303;276;15;0;263;2.784;10.241
noviembre-17;124.681;8.469;6.540;5.243;16;46;21.669;71;4.088;15.957;10.565;19.002;0;21.056;139;67;0;90;2.522;11.114
diciembre-17;118.201;5.681;4.877;3.128;21;21;21.689;38;3.550;14.179;13.490;22.154;19;22.968;839;27;15;123;2.745;11.295
enero-18;112.600;4.926;3.474;5.087;36;25;22.385;24;3.486;11.041;15.647;17.442;1;16.398;1.428;53;3;141;1.672;12.495
febrero-18;140.987;6.275;3.285;4.724;21;24;19.240;4;3.176;15.492;18.091;26.594;2;21.865;584;49;32;217;2.457;10.456
marzo-18;116.236;6.154;5.550;5.786;10;91;20.947;6;3.917;13.904;15.415;21.730;15;22.429;172;1;95;0;2.553;11.554
abril-18;137.214;7.763;5.259;4.588;4;71;24.596;12;4.470;18.669;22.997;20.554;17;23.786;1.439;87;0;140;2.094;11.265
mayo-18;135.071;8.001;4.651;7.671;47;27;28.082;7;4.700;14.437;23.654;26.623;17;24.035;281;3;0;265;3.145;11.718
junio-18;120.167;5.865;4.585;4.378;37;31;21.163;17;3.725;9.824;15.495;16.065;0;22.108;181;50;11;110;2.466;10.938
julio-18;136.926;8.807;5.420;4.724;21;31;24.505;1;4.419;13.812;16.171;26.366;30;29.246;565;61;10;138;3.091;12.445
agosto-18;139.923;7.020;4.628;4.305;37;19;20.091;1;4.124;21.784;25.044;16.448;10;29.123;605;10;0;77;2.837;9.619
septiembre-18;126.095;8.926;4.365;3.729;27;37;21.078;9;4.564;14.723;19.096;17.434;0;28.169;462;103;10;145;1.918;12.184
octubre-18;126.723;10.670;4.899;5.277;19;69;25.069;8;4.973;16.123;18.075;19.893;17;22.929;838;1;13;160;3.276;14.721
noviembre-18;135.909;7.611;6.225;3.415;54;37;24.092;1;3.756;12.135;11.293;17.474;1;21.416;60;12;10;68;2.566;9.735
diciembre-18;105.117;7.292;4.771;3.883;10;26;19.960;5;4.354;15.361;15.286;17.561;21;25.245;273;42;2;164;3.336;9.662
enero-19;117.959;4.172;4.087;2.592;12;53;24.450;11;2.825;16.044;15.009;13.183;56;22.137;239;0;10;0;2.528;10.168
